label,protocol,fold,seed,object_code,direction_count,great_circle_mae_deg,theta_mae_deg,phi_mae_deg,top1_acc,theta_true_deg,phi_true_deg,great_circle_err_rect_ifft_deg,great_circle_err_hann_ifft_deg,great_circle_err_hann_minus_rect_deg,theta_err_hann_minus_rect_deg,phi_err_hann_minus_rect_deg,top1_rect_ifft,top1_hann_ifft,top1_hann_minus_rect
rect_ifft,id,0,73,b80b,10,27.718075561523438,0.0,30.0,0.8,,,,,,,,,,
rect_ifft,id,0,73,b812,10,18.0,0.0,18.0,0.9,,,,,,,,,,
rect_ifft,id,0,73,b827,10,18.0,0.0,18.0,0.9,,,,,,,,,,
rect_ifft,id,0,73,b871,10,36.0,0.0,36.0,0.8,,,,,,,,,,
rect_ifft,id,0,73,b8ed,10,12.000000762939454,0.0,12.0,0.9,,,,,,,,,,
rect_ifft,id,0,73,b905,10,20.59050750732422,0.0,21.0,0.8,,,,,,,,,,
rect_ifft,id,0,73,b943,10,20.59050750732422,0.0,21.0,0.8,,,,,,,,,,
rect_ifft,id,0,73,b974,10,6.645188903808593,6.0,3.0,0.9,,,,,,,,,,
rect_ifft,id,0,73,b979,10,87.76657180786133,54.0,69.0,0.1,,,,,,,,,,
rect_ifft,id,0,73,b97b,10,18.0,0.0,18.0,0.9,,,,,,,,,,
rect_ifft,id,0,73,b9e6,10,18.00000114440918,0.0,18.0,0.8,,,,,,,,,,
rect_ifft,id,0,73,ba0f,10,87.24125061035156,45.0,66.0,0.3,,,,,,,,,,
rect_ifft,id,0,73,baa9,10,18.0,0.0,18.0,0.9,,,,,,,,,,
rect_ifft,id,0,73,bb26,10,92.04258365631104,48.0,69.0,0.1,,,,,,,,,,
rect_ifft,id,0,73,bb7c,10,24.000001525878908,0.0,30.0,0.8,,,,,,,,,,
rect_ifft,id,0,73,bb7d,10,91.12286376953125,36.0,108.0,0.2,,,,,,,,,,
rect_ifft,id,0,73,bbc6,10,42.43655805587768,21.0,27.0,0.3,,,,,,,,,,
rect_ifft,id,0,73,bc2c,10,72.98014392852784,24.0,96.0,0.2,,,,,,,,,,
rect_ifft,id,0,74,b7c1,10,6.000000381469727,0.0,6.0,0.9,,,,,,,,,,
rect_ifft,id,0,74,b7fd,10,35.946446323394774,12.0,36.0,0.4,,,,,,,,,,
rect_ifft,id,0,74,b80b,10,18.0,0.0,18.0,0.9,,,,,,,,,,
rect_ifft,id,0,74,b812,10,18.0,0.0,18.0,0.9,,,,,,,,,,
rect_ifft,id,0,74,b827,10,15.000000381469727,0.0,15.0,0.8,,,,,,,,,,
rect_ifft,id,0,74,b871,10,36.0,0.0,36.0,0.8,,,,,,,,,,
rect_ifft,id,0,74,b8ed,10,24.7180757522583,3.0,24.0,0.7,,,,,,,,,,
rect_ifft,id,0,74,b905,10,18.0,0.0,18.0,0.9,,,,,,,,,,
rect_ifft,id,0,74,b943,10,30.000000762939454,0.0,36.0,0.8,,,,,,,,,,
rect_ifft,id,0,74,b974,10,23.131781005859374,0.0,24.0,0.8,,,,,,,,,,
rect_ifft,id,0,74,b979,10,61.36892604827881,24.0,69.0,0.1,,,,,,,,,,
rect_ifft,id,0,74,b97b,10,30.000000762939454,12.0,18.0,0.8,,,,,,,,,,
rect_ifft,id,0,74,b9e6,10,12.000000762939454,0.0,12.0,0.8,,,,,,,,,,
rect_ifft,id,0,74,ba0f,10,98.06803588867187,45.0,93.0,0.4,,,,,,,,,,
rect_ifft,id,0,74,baa9,10,18.0,0.0,18.0,0.9,,,,,,,,,,
