protocol,fold,seed,object_code,theta_true_deg,phi_true_deg,great_circle_err_rect_ifft_deg,great_circle_err_hann_ifft_deg,great_circle_err_hann_minus_rect_deg,theta_err_hann_minus_rect_deg,phi_err_hann_minus_rect_deg,top1_rect_ifft,top1_hann_ifft,top1_hann_minus_rect
id,0,70,b871,120.0,330.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b871,150.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b871,150.0,210.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b8ed,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b8ed,30.0,180.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b8ed,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b8ed,60.0,240.0,0.0,113.5481185913086,113.5481185913086,0.0,150.0,1.0,0.0,-1.0
id,0,70,b8ed,90.0,120.0,120.00000762939453,60.000003814697266,-60.000003814697266,0.0,-60.0,0.0,0.0,0.0
id,0,70,b8ed,90.0,300.0,0.0,119.99999237060547,119.99999237060547,0.0,120.0,1.0,0.0,-1.0
id,0,70,b8ed,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b8ed,120.0,180.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b8ed,150.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b8ed,150.0,240.0,14.870942115783691,60.000003814697266,45.129061698913574,0.0,150.0,0.0,0.0,0.0
id,0,70,b905,30.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b905,30.0,210.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b905,60.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b905,60.0,270.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b905,90.0,150.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
id,0,70,b905,90.0,330.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b905,120.0,30.0,25.905075073242188,0.0,-25.905075073242188,0.0,-30.0,0.0,1.0,1.0
id,0,70,b905,120.0,210.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b905,150.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b905,150.0,270.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b943,30.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b943,30.0,240.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b943,60.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b943,60.0,300.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b943,90.0,0.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
id,0,70,b943,90.0,180.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b943,120.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b943,120.0,240.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b943,150.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b943,150.0,300.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b974,30.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b974,30.0,270.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b974,60.0,150.0,25.905075073242188,0.0,-25.905075073242188,0.0,-30.0,0.0,1.0,1.0
id,0,70,b974,60.0,330.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b974,90.0,30.0,0.0,180.0,180.0,0.0,180.0,1.0,0.0,-1.0
id,0,70,b974,90.0,210.0,180.0,0.0,-180.0,0.0,-180.0,0.0,1.0,1.0
id,0,70,b974,120.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b974,120.0,270.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b974,150.0,150.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b974,150.0,330.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b979,30.0,120.0,128.68218994140625,128.68218994140625,0.0,0.0,0.0,0.0,0.0,0.0
id,0,70,b979,30.0,300.0,151.04498291015625,151.04498291015625,0.0,0.0,0.0,0.0,0.0,0.0
id,0,70,b979,60.0,0.0,30.000001907348633,0.0,-30.000001907348633,-30.0,0.0,0.0,1.0,1.0
id,0,70,b979,60.0,180.0,30.000001907348633,90.0,59.99999809265137,0.0,180.0,0.0,0.0,0.0
id,0,70,b979,90.0,60.0,90.0,119.99999237060547,29.99999237060547,0.0,30.0,0.0,0.0,0.0
id,0,70,b979,90.0,240.0,90.0,60.000003814697266,-29.999996185302734,0.0,-30.0,0.0,0.0,0.0
id,0,70,b979,120.0,120.0,51.31781005859375,130.50535583496094,79.18754577636719,90.0,60.0,0.0,0.0,0.0
id,0,70,b979,120.0,300.0,29.99998664855957,29.99998664855957,0.0,0.0,0.0,0.0,0.0,0.0
id,0,70,b979,150.0,0.0,180.0,0.0,-180.0,-120.0,-180.0,0.0,1.0,1.0
id,0,70,b979,150.0,180.0,0.0,60.000003814697266,60.000003814697266,0.0,180.0,1.0,0.0,-1.0
id,0,70,b97b,30.0,150.0,0.0,128.68218994140625,128.68218994140625,120.0,60.0,1.0,0.0,-1.0
id,0,70,b97b,30.0,330.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b97b,60.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b97b,60.0,210.0,0.0,82.81924438476562,82.81924438476562,60.0,60.0,1.0,0.0,-1.0
id,0,70,b97b,90.0,90.0,0.0,180.0,180.0,0.0,180.0,1.0,0.0,-1.0
id,0,70,b97b,90.0,270.0,180.0,0.0,-180.0,0.0,-180.0,0.0,1.0,1.0
id,0,70,b97b,120.0,150.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b97b,120.0,330.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b97b,150.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b97b,150.0,210.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b9e6,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b9e6,30.0,180.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b9e6,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b9e6,60.0,240.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b9e6,90.0,120.0,120.00000762939453,180.0,59.99999237060547,0.0,60.0,0.0,0.0,0.0
id,0,70,b9e6,90.0,300.0,60.000003814697266,0.0,-60.000003814697266,0.0,-60.0,0.0,1.0,1.0
id,0,70,b9e6,120.0,0.0,0.0,29.99998664855957,29.99998664855957,30.0,0.0,1.0,0.0,-1.0
id,0,70,b9e6,120.0,180.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b9e6,150.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b9e6,150.0,240.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,ba0f,30.0,30.0,151.04498291015625,165.12905883789062,14.084075927734375,0.0,30.0,0.0,0.0,0.0
id,0,70,ba0f,30.0,210.0,151.04498291015625,151.04498291015625,0.0,0.0,0.0,0.0,0.0,0.0
