partition,method,object_code,count,great_circle_mean_deg,great_circle_median_deg,great_circle_p90_deg,top1_acc,failure_rate_gt_30_deg,failure_rate_gt_60_deg,failure_rate_gt_90_deg
held,operational_6ch_1nn,b7c1,60,12.070481105463541,0.0,82.81924421854171,0.8666666666666667,0.1,0.1,0.06666666666666667
held,operational_6ch_1nn,b7fd,60,55.714623410063645,41.409622109270856,138.59037789072914,0.36666666666666664,0.5833333333333334,0.4166666666666667,0.26666666666666666
held,operational_6ch_1nn,b80b,60,1.8803207369756962,0.0,0.0,0.9666666666666667,0.03333333333333333,0.016666666666666666,0.0
held,operational_6ch_1nn,b812,60,1.9999999999999996,0.0,0.0,0.9333333333333333,0.016666666666666666,0.0,0.0
held,operational_6ch_1nn,b827,60,10.899607454093568,0.0,59.99999999999999,0.9,0.1,0.08333333333333333,0.06666666666666667
held,operational_6ch_1nn,b871,60,8.070481105463545,0.0,30.000000000000018,0.85,0.13333333333333333,0.016666666666666666,0.016666666666666666
held,operational_6ch_1nn,b8ed,60,29.153917463084845,0.0,128.68218745348943,0.7166666666666667,0.25,0.2,0.18333333333333332
held,operational_6ch_1nn,b905,60,11.050047722401038,0.0,30.000000000000018,0.8666666666666667,0.1,0.08333333333333333,0.05
held,operational_6ch_1nn,b943,60,15.76251193060026,0.0,82.81924421854171,0.8333333333333334,0.13333333333333333,0.11666666666666667,0.08333333333333333
held,operational_6ch_1nn,b974,60,9.190160368487847,0.0,30.000000000000018,0.9,0.1,0.08333333333333333,0.03333333333333333
held,operational_6ch_1nn,b979,60,58.95186511745393,50.704811054635435,149.99999999999997,0.36666666666666664,0.6333333333333333,0.36666666666666664,0.3
held,operational_6ch_1nn,b97b,60,17.515545803820135,0.0,115.6589062732553,0.8333333333333334,0.16666666666666666,0.11666666666666667,0.1
held,operational_6ch_1nn,b9e6,60,3.644703124224824,0.0,0.0,0.9333333333333333,0.03333333333333333,0.016666666666666666,0.016666666666666666
held,operational_6ch_1nn,ba0f,60,73.81026632111204,62.17054686337235,150.0,0.25,0.6833333333333333,0.5,0.4166666666666667
held,operational_6ch_1nn,baa9,60,1.0000000000000002,0.0,0.0,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.0
held,operational_6ch_1nn,bb26,60,65.14171950288407,59.99999999999999,151.04497562814015,0.3333333333333333,0.6166666666666667,0.48333333333333334,0.36666666666666664
held,operational_6ch_1nn,bb7c,60,8.070481105463545,0.0,30.000000000000018,0.8833333333333333,0.1,0.05,0.016666666666666666
held,operational_6ch_1nn,bb7d,60,85.01482582747539,90.00000000000001,150.0,0.2,0.7666666666666667,0.6166666666666667,0.5166666666666667
held,operational_6ch_1nn,bbc6,60,20.33112257941493,0.0,89.99999999999999,0.75,0.21666666666666667,0.15,0.08333333333333333
held,operational_6ch_1nn,bc2c,60,55.789982596467055,50.70481105463543,151.04497562814015,0.36666666666666664,0.5666666666666667,0.36666666666666664,0.25
held,operational_6ch_global_phase_invariant_1nn,b7c1,60,13.070481105463541,0.0,82.81924421854171,0.85,0.11666666666666667,0.11666666666666667,0.06666666666666667
held,operational_6ch_global_phase_invariant_1nn,b7fd,60,54.759197706902405,35.704811054635435,128.68218745348946,0.36666666666666664,0.5833333333333334,0.4166666666666667,0.26666666666666666
held,operational_6ch_global_phase_invariant_1nn,b80b,60,4.880320736975696,0.0,0.0,0.95,0.05,0.03333333333333333,0.016666666666666666
held,operational_6ch_global_phase_invariant_1nn,b812,60,1.9999999999999996,0.0,0.0,0.9333333333333333,0.016666666666666666,0.0,0.0
held,operational_6ch_global_phase_invariant_1nn,b827,60,11.589767822581415,0.0,60.000000000000036,0.9,0.1,0.1,0.06666666666666667
held,operational_6ch_global_phase_invariant_1nn,b871,60,7.380320736975696,0.0,30.000000000000018,0.8666666666666667,0.11666666666666667,0.016666666666666666,0.016666666666666666
held,operational_6ch_global_phase_invariant_1nn,b8ed,60,27.096228757368294,0.0,128.68218745348943,0.7166666666666667,0.25,0.18333333333333332,0.15
held,operational_6ch_global_phase_invariant_1nn,b905,60,10.550047722401038,0.0,30.000000000000018,0.8833333333333333,0.1,0.08333333333333333,0.05
held,operational_6ch_global_phase_invariant_1nn,b943,60,14.097375423312931,0.0,64.3410937267447,0.8333333333333334,0.13333333333333333,0.1,0.06666666666666667
held,operational_6ch_global_phase_invariant_1nn,b974,60,11.570481105463541,0.0,82.81924421854174,0.8666666666666667,0.13333333333333333,0.1,0.06666666666666667
held,operational_6ch_global_phase_invariant_1nn,b979,60,64.98669763839193,59.999999999999986,150.0,0.3333333333333333,0.65,0.4,0.36666666666666664
held,operational_6ch_global_phase_invariant_1nn,b97b,60,18.642832667575952,0.0,115.6589062732553,0.8333333333333334,0.16666666666666666,0.15,0.1
held,operational_6ch_global_phase_invariant_1nn,b9e6,60,5.903411254459325,0.0,0.0,0.9166666666666666,0.05,0.05,0.016666666666666666
