label,protocol,fold,seed,object_code,direction_count,great_circle_mae_deg,theta_mae_deg,phi_mae_deg,top1_acc
frequency,id,0,73,bc2c,10,63.649336910247804,30.0,69.0,0.3
frequency,id,0,74,b7c1,10,18.00000114440918,0.0,18.0,0.8
frequency,id,0,74,b7fd,10,38.94644651412964,12.0,39.0,0.4
frequency,id,0,74,b80b,10,18.0,0.0,18.0,0.9
frequency,id,0,74,b812,10,18.0,0.0,18.0,0.9
frequency,id,0,74,b827,10,18.0,0.0,18.0,0.9
frequency,id,0,74,b871,10,18.0,0.0,18.0,0.9
frequency,id,0,74,b8ed,10,0.0,0.0,0.0,1.0
frequency,id,0,74,b905,10,18.0,0.0,18.0,0.9
frequency,id,0,74,b943,10,18.0,0.0,18.0,0.9
frequency,id,0,74,b974,10,26.281924438476562,6.0,24.0,0.8
frequency,id,0,74,b979,10,50.429332447052005,18.0,60.0,0.3
frequency,id,0,74,b97b,10,19.48709421157837,0.0,21.0,0.8
frequency,id,0,74,b9e6,10,18.00000114440918,0.0,18.0,0.8
frequency,id,0,74,ba0f,10,89.49092330932618,51.0,66.0,0.2
frequency,id,0,74,baa9,10,18.0,0.0,18.0,0.9
frequency,id,0,74,bb26,10,96.30028762817383,51.0,81.0,0.2
frequency,id,0,74,bb7c,10,12.000000762939454,0.0,18.0,0.9
frequency,id,0,74,bb7d,10,94.8865837097168,48.0,84.0,0.3
frequency,id,0,74,bbc6,10,38.99999866485596,9.0,36.0,0.6
frequency,id,0,74,bc2c,10,69.8061040878296,21.0,87.0,0.2
frequency,id,0,75,b7c1,10,18.00000114440918,0.0,18.0,0.8
frequency,id,0,75,b7fd,10,48.69083461761475,24.0,39.0,0.5
frequency,id,0,75,b80b,10,18.0,0.0,18.0,0.9
frequency,id,0,75,b812,10,18.0,0.0,18.0,0.9
frequency,id,0,75,b827,10,18.0,0.0,18.0,0.9
frequency,id,0,75,b871,10,18.0,0.0,18.0,0.9
frequency,id,0,75,b8ed,10,24.841906833648682,0.0,30.0,0.7
frequency,id,0,75,b905,10,18.0,0.0,18.0,0.9
frequency,id,0,75,b943,10,18.0,0.0,18.0,0.9
frequency,id,0,75,b974,10,0.0,0.0,0.0,1.0
frequency,id,0,75,b979,10,83.72246742248535,45.0,78.0,0.1
frequency,id,0,75,b97b,10,18.0,0.0,18.0,0.9
frequency,id,0,75,b9e6,10,18.00000114440918,0.0,18.0,0.8
frequency,id,0,75,ba0f,10,74.17119903564453,33.0,69.0,0.3
frequency,id,0,75,baa9,10,18.0,0.0,18.0,0.9
frequency,id,0,75,bb26,10,90.25464172363282,48.0,78.0,0.4
frequency,id,0,75,bb7c,10,14.590508270263673,0.0,15.0,0.8
frequency,id,0,75,bb7d,10,90.25464553833008,36.0,96.0,0.2
frequency,id,0,75,bbc6,10,57.45872344970703,12.0,63.0,0.3
frequency,id,0,75,bc2c,10,84.18515167236328,33.0,99.0,0.1
frequency,id,0,76,b7c1,10,18.00000114440918,6.0,12.0,0.7
frequency,id,0,76,b7fd,10,48.648861694335935,18.0,39.0,0.5
