arm,arm_display,true_index,pred_index,theta_true_deg,phi_true_deg,theta_pred_deg,phi_pred_deg,count,true_direction_total,row_rate
frequency,Frequency MLP,1,7,30.0,30.0,30.0,210.0,9,140,0.06428571428571428
frequency,Frequency MLP,1,8,30.0,30.0,30.0,240.0,0,140,0.0
frequency,Frequency MLP,1,9,30.0,30.0,30.0,270.0,0,140,0.0
frequency,Frequency MLP,1,10,30.0,30.0,30.0,300.0,0,140,0.0
frequency,Frequency MLP,1,11,30.0,30.0,30.0,330.0,0,140,0.0
frequency,Frequency MLP,1,12,30.0,30.0,60.0,0.0,0,140,0.0
frequency,Frequency MLP,1,13,30.0,30.0,60.0,30.0,3,140,0.02142857142857143
frequency,Frequency MLP,1,14,30.0,30.0,60.0,60.0,1,140,0.007142857142857143
frequency,Frequency MLP,1,15,30.0,30.0,60.0,90.0,0,140,0.0
frequency,Frequency MLP,1,16,30.0,30.0,60.0,120.0,0,140,0.0
frequency,Frequency MLP,1,17,30.0,30.0,60.0,150.0,0,140,0.0
frequency,Frequency MLP,1,18,30.0,30.0,60.0,180.0,0,140,0.0
frequency,Frequency MLP,1,19,30.0,30.0,60.0,210.0,1,140,0.007142857142857143
frequency,Frequency MLP,1,20,30.0,30.0,60.0,240.0,1,140,0.007142857142857143
frequency,Frequency MLP,1,21,30.0,30.0,60.0,270.0,0,140,0.0
frequency,Frequency MLP,1,22,30.0,30.0,60.0,300.0,1,140,0.007142857142857143
frequency,Frequency MLP,1,23,30.0,30.0,60.0,330.0,0,140,0.0
frequency,Frequency MLP,1,24,30.0,30.0,90.0,0.0,0,140,0.0
frequency,Frequency MLP,1,25,30.0,30.0,90.0,30.0,0,140,0.0
frequency,Frequency MLP,1,26,30.0,30.0,90.0,60.0,0,140,0.0
frequency,Frequency MLP,1,27,30.0,30.0,90.0,90.0,0,140,0.0
frequency,Frequency MLP,1,28,30.0,30.0,90.0,120.0,0,140,0.0
frequency,Frequency MLP,1,29,30.0,30.0,90.0,150.0,0,140,0.0
frequency,Frequency MLP,1,30,30.0,30.0,90.0,180.0,0,140,0.0
