arm,arm_display,entity_type,entity,object_code,theta_true_deg,phi_true_deg,prediction_rows,tail_gt90_count,tail_gt90_rate,tail_ge150_rate,exact_antipodal_rate,tail_rank,share_of_arm_tail
frequency,Frequency MLP,object,bb7d,bb7d,,,420,205,0.4880952380952381,0.19047619047619047,0.0880952380952381,1,0.12568976088289394
frequency,Frequency MLP,object,bc2c,bc2c,,,420,192,0.45714285714285713,0.21666666666666667,0.14523809523809525,2,0.11771919068056406
frequency,Frequency MLP,object,ba0f,ba0f,,,420,164,0.3904761904761905,0.15476190476190477,0.06904761904761905,3,0.10055180870631514
frequency,Frequency MLP,object,bb26,bb26,,,420,164,0.3904761904761905,0.1738095238095238,0.0880952380952381,4,0.10055180870631514
frequency,Frequency MLP,object,b7fd,b7fd,,,420,121,0.28809523809523807,0.09047619047619047,0.047619047619047616,5,0.07418761496014716
frequency,Frequency MLP,object,b979,b979,,,420,119,0.2833333333333333,0.12857142857142856,0.05238095238095238,6,0.07296137339055794
frequency,Frequency MLP,object,bbc6,bbc6,,,420,108,0.2571428571428571,0.16904761904761906,0.1,7,0.06621704475781728
frequency,Frequency MLP,object,b8ed,b8ed,,,420,99,0.2357142857142857,0.06190476190476191,0.05238095238095238,8,0.06069895769466585
frequency,Frequency MLP,object,b97b,b97b,,,420,56,0.13333333333333333,0.07380952380952381,0.06904761904761905,9,0.034334763948497854
frequency,Frequency MLP,object,bb7c,bb7c,,,420,49,0.11666666666666667,0.08571428571428572,0.08333333333333333,10,0.030042918454935622
frequency,Frequency MLP,object,b9e6,b9e6,,,420,46,0.10952380952380952,0.06190476190476191,0.06190476190476191,11,0.028203556100551808
frequency,Frequency MLP,object,b7c1,b7c1,,,420,44,0.10476190476190476,0.07380952380952381,0.07380952380952381,12,0.0269773145309626
frequency,Frequency MLP,object,b871,b871,,,420,43,0.10238095238095238,0.047619047619047616,0.04285714285714286,13,0.026364193746167996
frequency,Frequency MLP,object,b943,b943,,,420,43,0.10238095238095238,0.06904761904761905,0.06904761904761905,14,0.026364193746167996
frequency,Frequency MLP,object,b827,b827,,,420,41,0.09761904761904762,0.06428571428571428,0.06428571428571428,15,0.025137952176578784
frequency,Frequency MLP,object,b905,b905,,,420,39,0.09285714285714286,0.05476190476190476,0.05238095238095238,16,0.023911710606989576
frequency,Frequency MLP,object,b974,b974,,,420,34,0.08095238095238096,0.07857142857142857,0.07857142857142857,17,0.020846106683016553
frequency,Frequency MLP,object,b812,b812,,,420,31,0.07380952380952381,0.06428571428571428,0.06428571428571428,18,0.01900674432863274
frequency,Frequency MLP,object,b80b,b80b,,,420,24,0.05714285714285714,0.05714285714285714,0.05714285714285714,19,0.014714898835070508
frequency,Frequency MLP,object,baa9,baa9,,,420,9,0.02142857142857143,0.02142857142857143,0.02142857142857143,20,0.005518087063151441
rect_ifft,Rect-IFFT MLP,object,bb7d,bb7d,,,420,207,0.4928571428571429,0.16904761904761906,0.09523809523809523,1,0.12454873646209386
rect_ifft,Rect-IFFT MLP,object,bc2c,bc2c,,,420,181,0.430952380952381,0.19523809523809524,0.10238095238095238,2,0.10890493381468111
rect_ifft,Rect-IFFT MLP,object,bb26,bb26,,,420,180,0.42857142857142855,0.1976190476190476,0.08571428571428572,3,0.10830324909747292
rect_ifft,Rect-IFFT MLP,object,ba0f,ba0f,,,420,153,0.36428571428571427,0.17142857142857143,0.08095238095238096,4,0.09205776173285199
rect_ifft,Rect-IFFT MLP,object,b7fd,b7fd,,,420,146,0.3476190476190476,0.1357142857142857,0.06904761904761905,5,0.08784596871239471
rect_ifft,Rect-IFFT MLP,object,b979,b979,,,420,128,0.3047619047619048,0.10952380952380952,0.0380952380952381,6,0.07701564380264742
rect_ifft,Rect-IFFT MLP,object,bbc6,bbc6,,,420,121,0.28809523809523807,0.18333333333333332,0.10952380952380952,7,0.07280385078219014
rect_ifft,Rect-IFFT MLP,object,b8ed,b8ed,,,420,116,0.2761904761904762,0.08571428571428572,0.05238095238095238,8,0.06979542719614922
rect_ifft,Rect-IFFT MLP,object,b97b,b97b,,,420,61,0.14523809523809525,0.07380952380952381,0.06904761904761905,9,0.036702767749699154
rect_ifft,Rect-IFFT MLP,object,bb7c,bb7c,,,420,49,0.11666666666666667,0.09047619047619047,0.08571428571428572,10,0.029482551143200964
rect_ifft,Rect-IFFT MLP,object,b943,b943,,,420,44,0.10476190476190476,0.06904761904761905,0.06666666666666667,11,0.026474127557160047
rect_ifft,Rect-IFFT MLP,object,b871,b871,,,420,43,0.10238095238095238,0.08095238095238096,0.07857142857142857,12,0.025872442839951864
rect_ifft,Rect-IFFT MLP,object,b7c1,b7c1,,,420,40,0.09523809523809523,0.06904761904761905,0.06428571428571428,13,0.024067388688327317
rect_ifft,Rect-IFFT MLP,object,b905,b905,,,420,39,0.09285714285714286,0.05,0.04523809523809524,14,0.023465703971119134
rect_ifft,Rect-IFFT MLP,object,b9e6,b9e6,,,420,38,0.09047619047619047,0.04523809523809524,0.04523809523809524,15,0.02286401925391095
rect_ifft,Rect-IFFT MLP,object,b827,b827,,,420,35,0.08333333333333333,0.05,0.04285714285714286,16,0.0210589651022864
rect_ifft,Rect-IFFT MLP,object,b974,b974,,,420,34,0.08095238095238096,0.08095238095238096,0.08095238095238096,17,0.02045728038507822
rect_ifft,Rect-IFFT MLP,object,b812,b812,,,420,28,0.06666666666666667,0.05714285714285714,0.05714285714285714,18,0.01684717208182912
rect_ifft,Rect-IFFT MLP,object,b80b,b80b,,,420,14,0.03333333333333333,0.03333333333333333,0.03333333333333333,19,0.00842358604091456
rect_ifft,Rect-IFFT MLP,object,baa9,baa9,,,420,5,0.011904761904761904,0.011904761904761904,0.011904761904761904,20,0.0030084235860409147
