arm,arm_display,fold,prediction_rows,object_count,seed_count,great_circle_mean_deg,great_circle_median_deg,great_circle_p90_deg,great_circle_p95_deg,top1_acc,tail_rate_gt90_deg,tail_rate_ge150_deg,near_antipodal_rate_ge165_lt180,exact_antipodal_rate_180
frequency,Frequency MLP,1,2100,5,7,39.14684041477385,0.0,150.0,180.0,0.6347619047619047,0.20761904761904762,0.10523809523809524,0.0019047619047619048,0.06952380952380953
frequency,Frequency MLP,2,2100,5,7,28.69068770862761,0.0,122.24180603027344,180.0,0.7476190476190476,0.15571428571428572,0.08666666666666667,0.0019047619047619048,0.06904761904761905
frequency,Frequency MLP,3,2100,5,7,32.341818336759296,0.0,150.0,180.0,0.7138095238095238,0.16952380952380952,0.10047619047619048,0.005238095238095238,0.08523809523809524
frequency,Frequency MLP,4,2100,5,7,47.802899548666815,25.905075073242188,130.50535583496094,180.0,0.4847619047619048,0.2438095238095238,0.09523809523809523,0.0038095238095238095,0.05238095238095238
rect_ifft,Rect-IFFT MLP,1,2100,5,7,39.553976787839616,0.0,150.0,180.0,0.6333333333333333,0.2119047619047619,0.10666666666666667,0.002857142857142857,0.07428571428571429
rect_ifft,Rect-IFFT MLP,2,2100,5,7,25.60539992741176,0.0,120.00000762939453,180.0,0.7766666666666666,0.14,0.08190476190476191,0.002380952380952381,0.06190476190476191
rect_ifft,Rect-IFFT MLP,3,2100,5,7,31.607748687380838,0.0,128.6822052001953,180.0,0.7080952380952381,0.1657142857142857,0.09523809523809523,0.006190476190476191,0.07523809523809524
rect_ifft,Rect-IFFT MLP,4,2100,5,7,52.512194045384724,29.999998092651367,150.0,180.0,0.43952380952380954,0.27380952380952384,0.10809523809523809,0.01,0.05142857142857143
hann_ifft,Hann-IFFT MLP,1,2100,5,7,43.31943803423927,0.0,150.0,180.0,0.5833333333333334,0.22476190476190477,0.10285714285714286,0.0009523809523809524,0.0719047619047619
hann_ifft,Hann-IFFT MLP,2,2100,5,7,34.60456745147705,0.0,150.0,180.0,0.6952380952380952,0.18666666666666668,0.10476190476190476,0.002857142857142857,0.08476190476190476
hann_ifft,Hann-IFFT MLP,3,2100,5,7,34.21825633821033,0.0,150.0,180.0,0.6742857142857143,0.16285714285714287,0.1061904761904762,0.005238095238095238,0.08571428571428572
hann_ifft,Hann-IFFT MLP,4,2100,5,7,57.64725767998468,30.000001907348633,150.0,180.0,0.40190476190476193,0.310952380952381,0.11857142857142858,0.011904761904761904,0.05285714285714286
strong_1nn,Deterministic 6ch 1-NN,1,300,5,1,27.07321693776969,0.0,120.00000000000001,138.59037789072917,0.7133333333333334,0.13666666666666666,0.04666666666666667,0.0,0.01
strong_1nn,Deterministic 6ch 1-NN,2,300,5,1,19.895250478647927,0.0,90.00000000000001,128.68218745348943,0.78,0.09333333333333334,0.02666666666666667,0.0,0.013333333333333334
strong_1nn,Deterministic 6ch 1-NN,3,300,5,1,20.051640139875058,0.0,90.0,138.59037789072914,0.7733333333333333,0.08333333333333333,0.04,0.006666666666666667,0.016666666666666666
strong_1nn,Deterministic 6ch 1-NN,4,300,5,1,41.992425098697304,0.0,128.68218745348946,150.0,0.5533333333333333,0.20666666666666667,0.07333333333333333,0.0033333333333333335,0.006666666666666667
