arm,arm_display,entity_type,entity_count,total_tail_gt90,top1_tail_share,top3_tail_share,top5_tail_share,hhi_tail_share,normalized_entropy,max_tail_rate,median_tail_rate,min_tail_rate,highest_tail_entity
frequency,Frequency MLP,object,20,1631,0.12568976088289394,0.3439607602697731,0.5187001839362354,0.0760145720503383,0.9172418896414135,0.4880952380952381,0.1130952380952381,0.02142857142857143,bb7d
rect_ifft,Rect-IFFT MLP,object,20,1662,0.12454873646209386,0.3417569193742479,0.5216606498194946,0.07786205708112678,0.9067186407158174,0.4928571428571429,0.11071428571428571,0.011904761904761904,bb7d
hann_ifft,Hann-IFFT MLP,object,20,1859,0.11081226465841851,0.30984400215169444,0.4825174825174825,0.07216481123047928,0.9246667236787847,0.49047619047619045,0.13690476190476192,0.01904761904761905,bb7d
strong_1nn,Deterministic 6ch 1-NN,object,20,156,0.1858974358974359,0.4551282051282052,0.6602564102564102,0.10864562787639712,0.8092594029604046,0.48333333333333334,0.06666666666666667,0.0,bb7d
frequency,Frequency MLP,direction,60,1631,0.04966278356836297,0.1354996934396076,0.21520539546290618,0.024175604408906076,0.9505807840647824,0.5785714285714286,0.16785714285714287,0.04285714285714286,t090_p330
rect_ifft,Rect-IFFT MLP,direction,60,1662,0.04091456077015644,0.12093862815884476,0.19795427196149218,0.022635943819590165,0.9574088599796062,0.4857142857142857,0.16428571428571428,0.02142857142857143,t090_p090
hann_ifft,Hann-IFFT MLP,direction,60,1859,0.04518558364712211,0.12318450779989241,0.19419042495965572,0.022542153505864353,0.957849313563504,0.6,0.19642857142857145,0.007142857142857143,t090_p000
strong_1nn,Deterministic 6ch 1-NN,direction,60,156,0.05128205128205128,0.1282051282051282,0.1923076923076923,0.023668639053254437,0.9432174443296718,0.4,0.1,0.0,t090_p180
