pair,method_a,method_b,metric,object_code,direction_count,delta_b_minus_a
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,b7c1,60,-0.004761904761904761
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,b7fd,60,0.04523809523809523
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,b80b,60,-0.02380952380952381
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,b812,60,-0.007142857142857141
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,b827,60,-0.014285714285714287
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,b871,60,0.03333333333333333
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,b8ed,60,0.023809523809523805
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,b905,60,-0.004761904761904762
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,b943,60,0.0
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,b974,60,0.0023809523809523838
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,b979,60,-0.019047619047619046
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,b97b,60,9.251858538542971e-19
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,b9e6,60,-0.016666666666666666
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,ba0f,60,0.016666666666666673
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,baa9,60,-0.009523809523809523
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,bb26,60,0.023809523809523805
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,bb7c,60,0.0047619047619047615
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,bb7d,60,-0.021428571428571425
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,bbc6,60,0.014285714285714284
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,bc2c,60,-0.021428571428571425
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,b7c1,60,-0.009523809523809523
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,b7fd,60,0.03095238095238095
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,b80b,60,-0.02380952380952381
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,b812,60,-0.007142857142857141
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,b827,60,-0.021428571428571425
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,b871,60,0.035714285714285705
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,b8ed,60,0.014285714285714285
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,b905,60,-0.0071428571428571435
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,b943,60,-0.00238095238095238
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,b974,60,0.0023809523809523838
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,b979,60,-0.014285714285714284
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,b97b,60,0.0
