pair,method_a,method_b,metric,direction_index,theta_true_deg,phi_true_deg,object_count,delta_b_minus_a,object_bootstrap_ci95_low,object_bootstrap_ci95_high,objects_positive,objects_negative,objects_zero,multiplicity_note
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,31,90.0,210.0,20,-2.641399751390727,-19.356153238160267,14.357142871107374,9,7,4,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,32,90.0,240.0,20,9.8480222429548,-0.8571427481515069,19.8590385058948,12,6,2,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,33,90.0,270.0,20,1.285714299338204,-23.14285711560931,29.57142858505249,4,6,10,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,34,90.0,300.0,20,1.7858599662780783,-15.867065965107509,20.172966817447133,9,10,1,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,35,90.0,330.0,20,-13.70275971548898,-31.457465962001258,3.623862598964172,7,11,2,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,36,120.0,0.0,20,-4.013567311423166,-12.810096400124687,1.9285710198538637,3,4,13,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,37,120.0,30.0,20,8.395717797960552,-1.6763607665470672,19.231361749853406,7,4,9,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,38,120.0,60.0,20,4.599331964765276,1.2659220014299661,8.485977934428625,10,2,8,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,39,120.0,90.0,20,-1.1643660817827486,-7.795700136252811,4.441519276074001,6,5,9,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,40,120.0,120.0,20,-4.747723906380789,-14.93316133873803,2.9658420692171377,6,4,10,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,41,120.0,150.0,20,7.992493792942594,-3.5899976961953257,21.337530225345066,6,4,10,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,42,120.0,180.0,20,-2.6801425797598712,-16.869699125971113,10.543555847236087,7,5,8,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,43,120.0,210.0,20,7.784405354091101,-3.006073262691497,18.752331031731206,8,7,5,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,44,120.0,240.0,20,5.225457423073906,-1.1467085507937813,12.544048285143715,8,5,7,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,45,120.0,270.0,20,3.5210313796997057,-6.666123243400031,15.800672583580026,5,5,10,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,46,120.0,300.0,20,5.517983450208391,-1.5651122740336836,12.975373217718941,8,3,9,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,47,120.0,330.0,20,3.198580796377999,-4.309213925089155,11.964285373006547,6,4,10,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,48,150.0,0.0,20,-4.522602312905447,-9.796126721927099,-0.020501311506530163,3,10,7,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,49,150.0,30.0,20,0.5580167702266146,-3.2794437905720306,4.365334108897619,4,2,14,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,50,150.0,60.0,20,2.652385405131748,-9.756027569089621,14.372528467178364,5,1,14,descriptive direction-wise interval; no multiplicity adjustment
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,51,150.0,90.0,20,3.026156050818306,-5.520959692682539,12.214285475867133,5,3,12,descriptive direction-wise interval; no multiplicity adjustment
