arm,arm_display,theta_true_deg,prediction_rows,object_count,seed_count,great_circle_mean_deg,great_circle_median_deg,great_circle_p90_deg,great_circle_p95_deg,top1_acc,tail_rate_gt90_deg,tail_rate_ge150_deg,near_antipodal_rate_ge165_lt180,exact_antipodal_rate_180
frequency,Frequency MLP,30.0,1680,20,7,27.001413062640598,0.0,122.24180603027344,150.0,0.7136904761904762,0.13690476190476192,0.05773809523809524,0.008333333333333333,0.013095238095238096
frequency,Frequency MLP,60.0,1680,20,7,28.875084064120337,0.0,120.00000762939453,128.6822052001953,0.6791666666666667,0.15119047619047618,0.02857142857142857,0.0,0.022023809523809525
frequency,Frequency MLP,90.0,1680,20,7,76.27968202318463,60.000003814697266,180.0,180.0,0.42738095238095236,0.4113095238095238,0.3119047619047619,0.0,0.2761904761904762
frequency,Frequency MLP,120.0,1680,20,7,28.67606484662919,0.0,120.00000762939453,128.6822052001953,0.6696428571428571,0.15416666666666667,0.03154761904761905,0.0,0.02023809523809524
frequency,Frequency MLP,150.0,1680,20,7,24.145563514459703,0.0,120.00000762939453,150.0,0.7363095238095239,0.11726190476190476,0.05476190476190476,0.007738095238095238,0.01369047619047619
rect_ifft,Rect-IFFT MLP,30.0,1680,20,7,27.155587626638866,0.0,122.24180603027344,151.04498291015625,0.7083333333333334,0.13452380952380952,0.06488095238095239,0.014285714285714285,0.017857142857142856
rect_ifft,Rect-IFFT MLP,60.0,1680,20,7,31.08447594302041,0.0,120.00000762939453,128.6822052001953,0.6553571428571429,0.17083333333333334,0.033928571428571426,0.0,0.019642857142857142
rect_ifft,Rect-IFFT MLP,90.0,1680,20,7,72.24254674797966,41.40962219238281,180.0,180.0,0.4452380952380952,0.38392857142857145,0.29642857142857143,0.0,0.25535714285714284
rect_ifft,Rect-IFFT MLP,120.0,1680,20,7,31.478498353276933,0.0,120.00000762939453,128.6822052001953,0.655952380952381,0.1761904761904762,0.03511904761904762,0.0,0.02142857142857143
rect_ifft,Rect-IFFT MLP,150.0,1680,20,7,24.6380406391053,0.0,120.00000762939453,151.04498291015625,0.7321428571428571,0.12380952380952381,0.05952380952380952,0.0125,0.014285714285714285
hann_ifft,Hann-IFFT MLP,30.0,1680,20,7,31.698408590611958,0.0,128.68218994140625,151.04498291015625,0.6613095238095238,0.1630952380952381,0.0630952380952381,0.017857142857142856,0.005952380952380952
hann_ifft,Hann-IFFT MLP,60.0,1680,20,7,37.83391045502254,0.0,120.00000762939453,150.0,0.5875,0.18928571428571428,0.055357142857142855,0.0,0.0380952380952381
hann_ifft,Hann-IFFT MLP,90.0,1680,20,7,78.83262893812997,60.000003814697266,180.0,180.0,0.4101190476190476,0.4351190476190476,0.32976190476190476,0.0,0.2845238095238095
hann_ifft,Hann-IFFT MLP,120.0,1680,20,7,34.66724019731794,0.0,120.00000762939453,128.6822052001953,0.6202380952380953,0.17559523809523808,0.0380952380952381,0.0,0.025595238095238095
hann_ifft,Hann-IFFT MLP,150.0,1680,20,7,29.204711198806763,0.0,122.24180603027344,151.04498291015625,0.6642857142857143,0.14345238095238094,0.05416666666666667,0.008333333333333333,0.01488095238095238
strong_1nn,Deterministic 6ch 1-NN,30.0,240,20,1,19.75226627381492,0.0,89.99999999999999,143.9022189707491,0.7791666666666667,0.08333333333333333,0.04583333333333333,0.008333333333333333,0.0
strong_1nn,Deterministic 6ch 1-NN,60.0,240,20,1,24.36594671552832,0.0,119.99999999999999,128.68218745348943,0.7708333333333334,0.12916666666666668,0.008333333333333333,0.0,0.004166666666666667
strong_1nn,Deterministic 6ch 1-NN,90.0,240,20,1,49.01762027636588,29.999999999999996,149.99999999999997,150.0,0.4125,0.225,0.11666666666666667,0.0,0.041666666666666664
strong_1nn,Deterministic 6ch 1-NN,120.0,240,20,1,21.424851118716045,0.0,120.00000000000001,128.68218745348943,0.7833333333333333,0.1125,0.004166666666666667,0.0,0.004166666666666667
strong_1nn,Deterministic 6ch 1-NN,150.0,240,20,1,21.704981434312298,0.0,120.00000000000001,151.04497562814015,0.7791666666666667,0.1,0.058333333333333334,0.004166666666666667,0.008333333333333333
