arm,arm_display,phi_true_deg,prediction_rows,object_count,seed_count,great_circle_mean_deg,great_circle_median_deg,great_circle_p90_deg,great_circle_p95_deg,top1_acc,tail_rate_gt90_deg,tail_rate_ge150_deg,near_antipodal_rate_ge165_lt180,exact_antipodal_rate_180
frequency,Frequency MLP,0.0,700,20,7,37.73907335145133,0.0,150.0,180.0,0.64,0.1757142857142857,0.13,0.0,0.09714285714285714
frequency,Frequency MLP,30.0,700,20,7,29.628586698259625,0.0,120.00000762939453,180.0,0.6928571428571428,0.13714285714285715,0.06714285714285714,0.0014285714285714286,0.054285714285714284
frequency,Frequency MLP,60.0,700,20,7,36.924656338010514,0.0,138.59039306640625,180.0,0.6585714285714286,0.21142857142857144,0.09,0.002857142857142857,0.05285714285714286
frequency,Frequency MLP,90.0,700,20,7,45.83446524756295,0.0,180.0,180.0,0.6414285714285715,0.23857142857142857,0.19142857142857142,0.002857142857142857,0.16857142857142857
frequency,Frequency MLP,120.0,700,20,7,42.30817028181893,0.0,128.6822052001953,151.04498291015625,0.6028571428571429,0.27,0.06714285714285714,0.0014285714285714286,0.03428571428571429
frequency,Frequency MLP,150.0,700,20,7,37.66610058239528,0.0,130.50535583496094,180.0,0.6442857142857142,0.19285714285714287,0.09285714285714286,0.0,0.06571428571428571
frequency,Frequency MLP,180.0,700,20,7,34.01654019492013,0.0,150.0,180.0,0.6471428571428571,0.15,0.11428571428571428,0.0,0.09428571428571429
frequency,Frequency MLP,210.0,700,20,7,39.15244969231742,0.0,128.68218994140625,180.0,0.61,0.20142857142857143,0.08571428571428572,0.0014285714285714286,0.055714285714285716
frequency,Frequency MLP,240.0,700,20,7,35.6711899457659,0.0,128.6822052001953,151.04498291015625,0.6142857142857143,0.19428571428571428,0.05857142857142857,0.01,0.024285714285714285
frequency,Frequency MLP,270.0,700,20,7,30.143933666774206,0.0,150.0,180.0,0.7171428571428572,0.16,0.10285714285714286,0.011428571428571429,0.07142857142857142
frequency,Frequency MLP,300.0,700,20,7,32.501079085213796,0.0,128.68218994140625,150.0,0.65,0.1657142857142857,0.054285714285714284,0.0014285714285714286,0.02857142857142857
frequency,Frequency MLP,330.0,700,20,7,42.360492941992625,0.0,150.0,180.0,0.6242857142857143,0.23285714285714285,0.10857142857142857,0.005714285714285714,0.08142857142857143
rect_ifft,Rect-IFFT MLP,0.0,700,20,7,35.232104797363284,0.0,150.0,180.0,0.65,0.17285714285714285,0.11714285714285715,0.0014285714285714286,0.09285714285714286
rect_ifft,Rect-IFFT MLP,30.0,700,20,7,31.117018908091953,0.0,128.68218994140625,165.12905883789062,0.6942857142857143,0.15285714285714286,0.07714285714285714,0.0014285714285714286,0.04857142857142857
