object_code,sample_id,theta_deg,phi_deg,frequency_ghz,etheta_real,etheta_imag,ephi_real,ephi_imag
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.69,-0.769291282,0.148503929,0.00107182702,-0.00222950336
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.69999999,-0.710575163,0.306217462,0.000671335263,-0.00232468173
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.70999998,-0.604940057,0.429346144,0.000308053393,-0.0023904813
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.72000003,-0.466191679,0.51036495,-0.000124676342,-0.00242105708
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.73000002,-0.310399115,0.547099948,-0.000662172388,-0.00231808354
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.74000001,-0.153563663,0.541274369,-0.00122072757,-0.00198896904
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.75,-0.00981612597,0.497649074,-0.00165212282,-0.00143640407
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.75999999,0.109722808,0.423658431,-0.00184513174,-0.000767775404
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.76999998,0.197661519,0.328897446,-0.00178931095,-0.000125725128
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.77999997,0.274568468,0.231105924,-0.00164841826,0.00047152632
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.79000002,0.338265449,0.11867176,-0.00141625863,0.00106617459
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.80000001,0.358313829,-0.00876154657,-0.00099699467,0.00158753339
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.81,0.332288355,-0.135089606,-0.000367011264,0.0019892049
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.81999999,0.263406068,-0.244240463,0.000477600697,0.00214931252
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.82999998,0.16045925,-0.32209608,0.00142988306,0.00191042619
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.83999997,0.0369791389,-0.358660281,0.00225303532,0.00119634124
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.85000002,-0.0907967463,-0.349907249,0.00267507881,0.00010960237
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.86000001,-0.206883147,-0.298341095,0.00253661466,-0.00108237343
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.87,-0.298327506,-0.211804315,0.00187800894,-0.0020744605
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.88,-0.356640399,-0.101124384,0.000898850732,-0.00267056469
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.88999999,-0.377642691,0.0220749732,-0.000173059016,-0.00284230965
